,name,price,item
155,빅페퍼직화불고기버거,"3,500",햄
156,빅모짜직화불고기버거,"3,500",햄
157,백종원고기2배정식,"4,800",도
158,모짜닭가슴미니샐러드,"3,500",샐
159,주먹왕참치마요,"2,100",주
160,치치버거,"3,000",햄
161,뉴리치참치마요,"1,100",주
162,빅통모짜비프버거,"3,500",햄
163,통참치(확,"2,800",김
164,신제육볶음(확,"2,800",김
165,확실한불고기김밥(신,"2,800",김
166,확실한야채김밥(신,"2,800",김
167,창녕양파불고기버거,"3,200",햄
168,스팸김치볶음(확,"2,800",김
169,대만식연유,"2,300",샌
170,수반상,"5,800",도
171,3XL소고기전주비빔,"1,500",주
172,3XL치킨데리마요,"1,500",주
173,통밀햄감자샌드,"3,000",샌
174,2XL베이컨참치마요,"1,500",주
175,참치마요&전주비빔,"2,000",주
176,백종원완전한판정식,"4,500",도
177,2XL로제닭갈비,"1,400",주
178,백종원열탄불고기,"1,200",주
179,백종원열탄불고기,"4,300",도
180,백종원열탄불고기,"2,900",김
181,백종원떡갈비불고기,"1,700",주
182,백종원2XL치즈제육,"1,500",주
183,계란샌드위치,"2,500",샌
184,A1트리플스테이크버거,"3,500",햄
185,콰트로타워버거,"2,700",햄
186,모짜치즈볼트리플버거,"3,400",햄
187,참치가득유부초밥,"3,700",김
188,크랩가득유부초밥,"3,700",김
189,2XL스팸마요,"1,400",주
190,A1스테이크치즈버거,"2,800",햄
191,디럭스스크램블버거,"3,400",햄
192,2XL간장불고기,"1,400",주
193,흑임자치킨샐러드,"3,500",샐
194,보성녹돈돈까스김밥,"2,400",김
195,닭가슴살샐러드170,"3,500",샐
196,트리플불고기치즈버거,"2,700",햄
197,에그가먼저닭샐러드,"3,500",샐
198,치킨마요삼각김밥,"1,200",주
199,치킨찹찹샐러드,"3,500",샐
200,퀴노아바질샐러드,"3,500",샐
